Metric;Vector 16;Vector Full;Scalar 4;Scalar 16;Scalar Full;Bicameral 16;Bicameral Full;White Cache
Cache height (mm);0.18939;1.30605;0.135874;0.18939;0.562428;0.325264;1.441924;0.210211
Cache width (mm);1.99467;3.81133;0.550832;2.00288;0.423506;2.545502;4.362162;2.00041
Total area (mm2);0.3777705513;4.9777875465;0.074843747168;0.3793254432;0.238191632568;0.7570959945;5.215979179068;0.42050818651
 Access time (ns);1.28652;10.4194;0.445625;1.28652;0.682939;1.28652;10.4194;1.31685
 Random cycle time (ns);1.0928;57.5743;1.16332;1.0928;0.760861;1.16332;57.5743;1.12063
 Dynamic read energy (nJ);0.149047;2.53635;0.0315224;0.149545;0.0271761;0.149047;2.53635;0.153635
 Dynamic write energy (nJ);0.145785;2.56087;0.0315571;0.150179;0.0415673;0.145785;2.56087;0.159037
Standby leakage per bank(mW);19.8535;667.627;18.6895;21.1944;31.9951;38.543;686.3165;38.9294
Total leakage power of a bank (mW);19.8107;664.83;18.6524;21.1484;31.8946;38.4631;683.4824;38.8498
Total gate leakage power of a bank (mW);0.0428674;2.79712;0.0370488;0.0428674;0.100545;0.0799162;2.8341688;0.0795289
